site_id,species_richness,lat,lon
1000,475,17.7895,-64.62008
1011,475,17.78448,-64.61262
1012,475,17.71263,-64.56859
1014,475,17.73606,-64.53035
1015,475,17.76156,-64.50001
1016,475,17.76191,-64.5005
1017,475,17.76616,-64.49597
1018,475,17.74224,-64.89974
1020,475,17.77099,-64.81931
1021,475,17.77793,-64.67764
1023,475,17.78533,-64.76053
1024,475,17.78686,-64.75798
1025,475,17.63772,-64.86058
1026,475,17.64588,-64.8119
1027,475,17.64678,-64.80884
1032,475,17.66703,-64.75954
1033,475,17.69822,-64.62501
1034,475,17.80351,-64.55044
1035,475,17.817,-64.43281
1036,475,17.81687,-64.43145
1039,475,17.784300000000002,-64.75804
1041,475,17.66377,-64.7722
1043,475,17.77786,-64.59504
1044,475,17.77971,-64.5946
1045,475,17.7826,-64.60163
1046,475,17.78303,-64.61217
1047,475,17.78316,-64.60086
1048,475,17.78859,-64.60176
1049,475,17.78863,-64.60076
1050,475,17.78908,-64.59941
1051,475,17.79036,-64.60451
1052,475,17.79487,-64.61732
1053,475,17.79486,-64.61455
1055,475,17.77413,-64.521
1056,475,17.7676,-64.51292
1057,475,17.76914,-64.51071
1059,475,17.68062,-64.71816
1060,475,17.68103,-64.7205
1061,475,17.77673,-64.61624
1062,475,17.7802,-64.61233
1063,475,17.78242,-64.58576
1064,475,17.78327,-64.59508
1065,475,17.78883,-64.57738
1066,475,17.79655,-64.5773
1067,475,17.79684,-64.58679
1068,475,17.79974,-64.58721
1069,475,17.80048,-64.59424
1070,475,17.80342,-64.60758
1071,475,17.8078,-64.62704
1072,475,17.80883,-64.62699
1073,475,17.80876,-64.62172
1074,475,17.80963,-64.63575
1075,475,17.69895,-64.62971
1076,475,17.7013,-64.63713
1077,475,17.70898,-64.62505
1085,475,17.73736,-64.54403
1086,475,17.74634,-64.53182
1088,475,17.77227,-64.56337
1089,475,17.77508,-64.53798
1090,475,17.78749,-64.57154
1091,475,17.78781,-64.5343
1092,475,17.79318,-64.55362
1093,475,17.79633,-64.55036
1095,475,17.7753,-64.49409
1098,475,17.78643,-64.47695
1099,475,17.79171,-64.47143
1100,475,17.79264,-64.46115
1101,475,17.79657,-64.52
1104,475,17.80056,-64.53642
1105,475,17.80165,-64.52598
1106,475,17.8016,-64.54086
1107,475,17.80533,-64.52651
1108,475,17.80729,-64.52806
1109,475,17.81115,-64.49591
1110,475,17.81464,-64.49993
1111,475,17.81535,-64.47942
1112,475,17.81903,-64.50109
1113,475,17.82053,-64.49941
1115,475,17.76724,-64.73035
1119,475,17.79189,-64.74884
1120,475,17.64103,-64.85118
1121,475,17.6424,-64.84934
1122,475,17.64457,-64.90317
1124,475,17.64957,-64.85538
1125,475,17.64916,-64.92143
1126,475,17.65081,-64.80896
1132,475,17.68541,-64.67719
1133,475,17.68855,-64.68384
1134,475,17.77504,-64.59457
1136,475,17.78562,-64.58656
1138,475,17.69783,-64.62761
1140,475,17.77569,-64.57332
1141,475,17.77849,-64.53334
1142,475,17.78884,-64.49493
1143,475,17.79675,-64.47728
1146,475,17.75257,-64.8955
1149,475,17.7907,-64.75179
1151,475,17.67053,-64.77865
1163,475,17.76322,-64.72225
1176,475,17.78453,-64.6078
