site_id,year,richness
1000,2017,475
1011,2017,475
1012,2017,475
1014,2017,475
1015,2017,475
1016,2017,475
1017,2017,475
1018,2017,475
1020,2017,475
1021,2017,475
1023,2017,475
1024,2017,475
1025,2017,475
1026,2017,475
1027,2017,475
1032,2017,475
1033,2017,475
1034,2017,475
1035,2017,475
1036,2017,475
1039,2017,475
1041,2017,475
1043,2017,475
1044,2017,475
1045,2017,475
1046,2017,475
1047,2017,475
1048,2017,475
1049,2017,475
1050,2017,475
1051,2017,475
1052,2017,475
1053,2017,475
1055,2017,475
1056,2017,475
1057,2017,475
1059,2017,475
1060,2017,475
1061,2017,475
1062,2017,475
1063,2017,475
1064,2017,475
1065,2017,475
1066,2017,475
1067,2017,475
1068,2017,475
1069,2017,475
1070,2017,475
1071,2017,475
1072,2017,475
1073,2017,475
1074,2017,475
1075,2017,475
1076,2017,475
1077,2017,475
1085,2017,475
1086,2017,475
1088,2017,475
1089,2017,475
1090,2017,475
1091,2017,475
1092,2017,475
1093,2017,475
1095,2017,475
1098,2017,475
1099,2017,475
1100,2017,475
1101,2017,475
1104,2017,475
1105,2017,475
1106,2017,475
1107,2017,475
1108,2017,475
1109,2017,475
1110,2017,475
1111,2017,475
1112,2017,475
1113,2017,475
1115,2017,475
1119,2017,475
1120,2017,475
1121,2017,475
1122,2017,475
1124,2017,475
1125,2017,475
1126,2017,475
1132,2017,475
1133,2017,475
1134,2017,475
1136,2017,475
1138,2017,475
1140,2017,475
1141,2017,475
1142,2017,475
1143,2017,475
1146,2017,475
1149,2017,475
1151,2017,475
1163,2017,475
1176,2017,475
1178,2017,475
1179,2017,475
1180,2017,475
1181,2017,475
1182,2017,475
1183,2017,475
1184,2017,475
1186,2017,475
1187,2017,475
1190,2017,475
1191,2017,475
1192,2017,475
1193,2017,475
1195,2017,475
1196,2017,475
1197,2017,475
1198,2017,475
1199,2017,475
1200,2017,475
1201,2017,475
1203,2017,475
1204,2017,475
1205,2017,475
1206,2017,475
1207,2017,475
1208,2017,475
1210,2017,475
1211,2017,475
1212,2017,475
1213,2017,475
1214,2017,475
1215,2017,475
1216,2017,475
1217,2017,475
1218,2017,475
1221,2017,475
1222,2017,475
1223,2017,475
1224,2017,475
1226,2017,475
1227,2017,475
1228,2017,475
1229,2017,475
1236,2017,475
1241,2017,475
1243,2017,475
1246,2017,475
1266,2017,475
1274,2017,475
1277,2017,475
1278,2017,475
1291,2017,475
1293,2017,475
1297,2017,475
1298,2017,475
1302,2017,475
1316,2017,475
1328,2017,475
1348,2017,475
1349,2017,475
